index,X,Y,EGFR,PDGFRA,CDK4
1 , 424 , 200, 0, 2, 7
2 , 484 , 199, 4, 3, 10
3 , 378 , 208, 3, 4, 9
4 , 370 , 228, 7, 0, 4
5 , 404 , 234, 7, 2, 20
6 , 431 , 236, 0, 4, 7
7 , 513 , 252, 0, 9, 11
8 , 476 , 243, 5, 3, 14
9 , 379 , 273, 13, 3, 13
10 , 394 , 309, 11, 0, 21
11 , 485 , 315, 0, 1, 13
12 , 345 , 319, 5, 2, 8
13 , 332 , 346, 11, 0, 2
14 , 388 , 378, 10, 3, 16
15 , 420 , 387, 5, 3, 22
16 , 395 , 416, 6, 2, 11
17 , 612 , 408, 6, 0, 0
18 , 333 , 417, 2, 6, 14
19 , 374 , 427, 1, 1, 11
20 , 347 , 440, 0, 3, 8
