Tumor_ID	Core_ID	ROI	FISH_core	FISH_comment
1	1	ROI_27	15	
1	2	ROI_34	16	
1	3	ROI_43	17	
1	4	ROI_50	18	
1	1	ROI_86	15	
2	3	ROI_3	21	
2	4	ROI_9	22	
2	1	ROI_58	19	
2	2	ROI_69	20	
2	2	ROI_70	20	
2	3	ROI_80	21	
3	1	ROI_67	79	
3	2	ROI_79	80	
4	1	ROI_4	31	
4	2	ROI_10	32	
4	3	ROI_16	33	
4	4	ROI_24	34	
4	1	ROI_81	31	
4	2	ROI_82	32	
4	2	ROI_83	32	
4	4	ROI_84	34	
4	4	ROI_85	34	
5	1	ROI_17	43	
5	3	ROI_32	45	
5	4	ROI_37	46	
6	1	ROI_42	7	
6	4	ROI_68	10	
8	4	ROI_57	78	
8	1	ROI_90	75	
9	1	ROI_44	27	
9	1	ROI_45	27	
9	2	ROI_51	28	
9	3	ROI_59	29	
9	3	ROI_60	29	
9	4	ROI_71	30	
9	4	ROI_72	30	
10	3	ROI_7	61	
10	1	ROI_64	59	
10	2	ROI_76	60	
10	2	ROI_77	60	
11	1	ROI_31	35	
11	2	ROI_36	36	
11	3	ROI_46	37	
11	4	ROI_52	38	
11	4	ROI_53	38	
11	1	ROI_87	35	
11	2	ROI_92	36	
11	2	ROI_93	36	
12	1	ROI_15	23	
12	2	ROI_22	24	
12	2	ROI_23	24	
12	3	ROI_29	25	
12	3	ROI_30	25	
12	4	ROI_35	26	
12	4	ROI_94	26	
12	1	ROI_96	23	
13	3	ROI_5	41	
13	4	ROI_11	42	
13	1	ROI_61	39	
13	1	ROI_62	39	
13	2	ROI_73	40	
13	2	ROI_74	40	
14	1	ROI_6	51	
14	2	ROI_12	52	
14	3	ROI_18	53	
14	4	ROI_25	54	
15	1	ROI_19	63	
15	2	ROI_26	64	
15	4	ROI_39	66	
16	1	ROI_1	1	
16	2	ROI_13	3	
16	3	ROI_20	4	
16	3	ROI_28	4	
16	4	ROI_40	6	
16	4	ROI_41	6	
17	1	ROI_2	11	
17	2	ROI_8	12	
17	3	ROI_14	13	
17	4	ROI_21	14	
17	3	ROI_95	13	
18	1	ROI_33	55	
18	2	ROI_38	56	
18	3	ROI_48	57	
18	4	ROI_55	58	
18	1	ROI_88	55	
18	1	ROI_89	55	
18	2	ROI_91	56	
19	1	ROI_49	67	
19	2	ROI_56	68	
19	3	ROI_65	69	
19	3	ROI_66	69	
19	4	ROI_78	70	
21	1	ROI_47	47	
21	2	ROI_54	48	
21	3	ROI_63	49	missing
21	4	ROI_75	50	missing
