"","nuclei_count"
"ROI_01",7270
"ROI_02",2865
"ROI_03",1954
"ROI_04",925
"ROI_05",6037
"ROI_06",1190
"ROI_07",5689
"ROI_08",4308
"ROI_09",4420
"ROI_10",1085
"ROI_11",5967
"ROI_12",6515
"ROI_13",8907
"ROI_14",1114
"ROI_15",1202
"ROI_16",4043
"ROI_17",2430
"ROI_18",5380
"ROI_19",1623
"ROI_20",995
"ROI_21",4527
"ROI_22",2138
"ROI_23",1028
"ROI_24",487
"ROI_25",6024
"ROI_26",4925
"ROI_27",2010
"ROI_28",269
"ROI_29",928
"ROI_30",528
"ROI_31",1158
"ROI_32",31
"ROI_33",471
"ROI_34",2023
"ROI_35",774
"ROI_36",472
"ROI_37",2866
"ROI_38",1123
"ROI_39",946
"ROI_40",721
"ROI_41",293
"ROI_42",898
"ROI_43",3535
"ROI_44",1158
"ROI_45",671
"ROI_46",4935
"ROI_47",1640
"ROI_48",1734
"ROI_49",3185
"ROI_50",6266
"ROI_51",2591
"ROI_52",1923
"ROI_53",786
"ROI_54",2800
"ROI_55",1641
"ROI_56",991
"ROI_57",9
"ROI_58",3763
"ROI_59",955
"ROI_60",536
"ROI_61",2696
"ROI_62",494
"ROI_63",4464
"ROI_64",4403
"ROI_65",583
"ROI_66",3868
"ROI_67",11
"ROI_68",6342
"ROI_69",1213
"ROI_70",799
"ROI_71",121
"ROI_72",113
"ROI_73",520
"ROI_74",1128
"ROI_75",1069
"ROI_76",964
"ROI_77",1597
"ROI_78",476
"ROI_79",350
"ROI_80",470
"ROI_81",986
"ROI_82",1506
"ROI_83",126
"ROI_84",162
"ROI_85",401
"ROI_86",148
"ROI_87",695
"ROI_88",146
"ROI_89",30
"ROI_90",328
"ROI_91",1255
"ROI_92",527
"ROI_93",487
"ROI_94",517
"ROI_95",521
"ROI_96",734
