index,X,Y,EGFR,PDGFRA,CDK4
1 , 151 , 8, 2, 0, 6
2 , 279 , 11, 10, 1, 12
3 , 338 , 10, 0, 0, 0
4 , 451 , 13, 2, 0, 28
5 , 507 , 20, 5, 0, 42
6 , 574 , 8, 0, 0, 12
7 , 610 , 17, 0, 0, 13
8 , 304 , 19, 2, 0, 3
9 , 383 , 27, 8, 0, 15
10 , 630 , 31, 4, 0, 19
11 , 281 , 41, 5, 1, 17
12 , 693 , 41, 2, 0, 15
13 , 315 , 48, 4, 1, 14
14 , 521 , 42, 3, 0, 4
15 , 36 , 49, 6, 0, 8
16 , 234 , 52, 4, 1, 15
17 , 210 , 52, 3, 0, 16
18 , 461 , 70, 0, 0, 29
19 , 527 , 70, 24, 2, 20
20 , 25 , 64, 2, 0, 1
21 , 12 , 69, 4, 0, 1
22 , 86 , 75, 10, 0, 5
23 , 345 , 80, 0, 0, 10
24 , 581 , 87, 9, 0, 14
25 , 235 , 89, 3, 1, 25
26 , 705 , 85, 4, 0, 8
27 , 367 , 96, 11, 0, 20
28 , 38 , 95, 14, 0, 2
29 , 688 , 91, 3, 0, 8
30 , 82 , 104, 0, 0, 13
31 , 57 , 111, 10, 0, 10
32 , 685 , 114, 4, 0, 17
33 , 615 , 111, 4, 2, 24
34 , 213 , 117, 0, 0, 13
35 , 170 , 129, 1, 0, 15
36 , 705 , 143, 2, 0, 41
37 , 394 , 142, 5, 2, 19
38 , 522 , 137, 1, 0, 19
39 , 443 , 141, 1, 0, 12
40 , 354 , 150, 11, 2, 15
41 , 598 , 152, 1, 0, 6
42 , 100 , 151, 1, 0, 3
43 , 230 , 157, 0, 0, 18
44 , 432 , 158, 3, 0, 14
45 , 140 , 156, 1, 0, 16
46 , 490 , 163, 3, 0, 18
47 , 12 , 165, 4, 0, 7
48 , 402 , 166, 0, 0, 13
49 , 654 , 168, 9, 0, 8
50 , 698 , 178, 2, 0, 24
51 , 61 , 176, 4, 1, 3
52 , 320 , 185, 1, 0, 22
53 , 63 , 191, 3, 0, 21
54 , 442 , 187, 2, 0, 17
55 , 422 , 191, 3, 0, 8
56 , 498 , 197, 4, 0, 13
57 , 279 , 212, 2, 0, 49
58 , 238 , 207, 1, 0, 17
59 , 460 , 207, 0, 0, 9
60 , 440 , 212, 5, 1, 15
61 , 63 , 211, 0, 1, 19
62 , 529 , 215, 3, 0, 12
63 , 767 , 212, 0, 0, 0
64 , 5 , 218, 0, 0, 0
65 , 396 , 217, 0, 0, 10
66 , 218 , 223, 9, 0, 15
67 , 481 , 220, 3, 0, 25
68 , 165 , 226, 2, 0, 17
69 , 188 , 231, 10, 1, 19
70 , 572 , 235, 8, 0, 32
71 , 82 , 233, 7, 0, 15
72 , 388 , 240, 6, 1, 3
73 , 471 , 240, 0, 1, 22
74 , 686 , 247, 1, 0, 17
75 , 736 , 245, 5, 0, 19
76 , 32 , 255, 10, 0, 16
77 , 11 , 251, 0, 0, 14
78 , 68 , 254, 6, 0, 18
79 , 629 , 250, 1, 0, 17
80 , 540 , 251, 3, 0, 7
81 , 107 , 253, 0, 0, 22
82 , 166 , 248, 1, 0, 10
83 , 342 , 257, 3, 0, 0
84 , 749 , 269, 17, 0, 16
85 , 794 , 264, 2, 0, 8
86 , 502 , 265, 0, 0, 2
87 , 532 , 266, 1, 0, 9
88 , 696 , 267, 9, 1, 5
89 , 154 , 279, 7, 0, 20
90 , 299 , 279, 6, 0, 10
91 , 546 , 286, 7, 0, 14
92 , 222 , 286, 2, 0, 22
93 , 53 , 293, 9, 1, 9
94 , 119 , 299, 9, 1, 31
95 , 425 , 298, 3, 0, 14
96 , 632 , 299, 1, 0, 5
97 , 597 , 301, 1, 1, 8
98 , 463 , 300, 2, 0, 11
99 , 664 , 304, 4, 0, 19
100 , 15 , 301, 2, 0, 20
101 , 720 , 302, 3, 1, 11
102 , 515 , 308, 9, 0, 22
103 , 306 , 312, 3, 2, 8
104 , 551 , 315, 3, 0, 18
105 , 764 , 330, 0, 3, 26
106 , 576 , 315, 5, 0, 16
107 , 238 , 318, 2, 0, 18
108 , 180 , 325, 5, 0, 44
109 , 41 , 315, 1, 0, 9
110 , 442 , 316, 1, 0, 2
111 , 76 , 335, 5, 0, 16
112 , 344 , 332, 3, 0, 17
113 , 8 , 334, 2, 0, 6
114 , 39 , 336, 9, 0, 14
115 , 702 , 339, 3, 0, 20
116 , 244 , 344, 7, 0, 24
117 , 589 , 351, 14, 1, 21
118 , 55 , 358, 1, 1, 21
119 , 318 , 351, 5, 0, 12
120 , 517 , 347, 2, 0, 8
121 , 280 , 361, 6, 1, 14
122 , 488 , 362, 0, 0, 1
123 , 399 , 366, 8, 0, 31
124 , 578 , 379, 6, 1, 15
125 , 529 , 376, 1, 0, 9
126 , 680 , 386, 17, 0, 23
127 , 95 , 377, 2, 0, 10
128 , 175 , 379, 1, 1, 2
129 , 203 , 378, 0, 1, 14
130 , 246 , 384, 0, 0, 6
131 , 622 , 386, 5, 0, 9
132 , 157 , 401, 3, 1, 6
133 , 406 , 398, 9, 0, 18
134 , 102 , 398, 0, 0, 6
135 , 202 , 403, 4, 0, 24
136 , 473 , 404, 6, 0, 16
137 , 339 , 403, 3, 0, 16
138 , 716 , 410, 6, 1, 50
139 , 646 , 412, 7, 0, 8
140 , 665 , 412, 1, 0, 2
141 , 515 , 414, 1, 0, 9
142 , 490 , 417, 9, 1, 17
143 , 54 , 424, 7, 1, 12
144 , 128 , 420, 9, 1, 19
